[ 2019-07-14 13:00:51 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:01 ] < 1 > -- <class 'downloader.DownLoadError'> -- [WinError 10053] 您的主机中的软件中止了一个已建立的连接。
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:15 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:36 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:57 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:57 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:57 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:57 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-14 13:01:57 ] < 1 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 180.104.107.46:45700 ssl:None [Connect call failed ('180.104.107.46', 45700)]
[ 2019-07-18 11:49:58 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:00 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:01 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:02 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:03 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:04 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:05 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:07 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:08 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
[ 2019-07-18 11:50:09 ] < 0 > -- <class 'downloader.DownLoadError'> -- Cannot connect to host 60.255.186.169:8888 ssl:None [Connect call failed ('60.255.186.169', 8888)]
